"","value","id","keyword"
6587,1,"2019-08-14_198","書狀"
6661,2,"2019-08-14_198","台北"
6791,1,"2019-08-14_198","交訴"
6801,5,"2019-08-14_198","駁回"
6854,2,"2019-08-14_198","過失致死"
6995,1,"2019-08-14_198","民事"
7093,1,"2019-08-14_198","從而"
7124,1,"2019-08-14_198","依據"
7165,1,"2019-08-14_198","律師"
7212,2,"2019-08-14_198","新店市"
7234,3,"2019-08-14_198","無罪"
7256,1,"2019-08-14_198","提起"
7263,1,"2019-08-14_198","業經"
7280,2,"2019-08-14_198","聲明"
7290,3,"2019-08-14_198","責任"
7375,1,"2019-08-14_198","賠償"
7438,1,"2019-08-14_198","第六"
7463,1,"2019-08-14_198","附件"
7509,1,"2019-08-14_198","如主"
7516,1,"2019-08-14_198","起訴"
7525,1,"2019-08-14_198","文中"
7528,1,"2019-08-14_198","說明"
7571,1,"2019-08-14_198","法官"
7590,1,"2019-08-14_198","不得"
7600,1,"2019-08-14_198","部分"
7612,1,"2019-08-14_198","上開"
7643,1,"2019-08-14_198","陳述"
7667,2,"2019-08-14_198","業務"
7668,1,"2019-08-14_198","過失"
7844,1,"2019-08-14_197","應予以"
8241,1,"2019-08-14_197","開法條"
8309,1,"2019-08-14_197","字號"
8407,1,"2019-08-14_197","清償"
8571,1,"2019-08-14_197","免訴"
8608,1,"2019-08-14_197","曉郁中"
8650,1,"2019-08-14_197","法定代理"
8704,1,"2019-08-14_197","程暉"
8789,1,"2019-08-14_197","受損害"
8864,1,"2019-08-14_197","負擔"
9010,1,"2019-08-14_197","並自"
9114,3,"2019-08-14_197","假執行"
9316,3,"2019-08-14_197","之訴"
9476,2,"2019-08-14_197","之聲"
9482,1,"2019-08-14_197","起至"
9570,1,"2019-08-14_197","費用"
9946,1,"2019-08-14_197","二本"
10035,1,"2019-08-14_197","即應"
10319,1,"2019-08-14_197","應以"
10323,8,"2019-08-14_197","民事訴訟"
10327,1,"2019-08-14_197","下同"
10351,8,"2019-08-14_197","附帶"
10383,1,"2019-08-14_197","擔保"
10386,8,"2019-08-14_197","原告"
10406,1,"2019-08-14_197","八號"
10423,1,"2019-08-14_197","書狀"
10595,1,"2019-08-14_197","翌日"
10627,1,"2019-08-14_197","交訴"
10637,6,"2019-08-14_197","駁回"
10641,1,"2019-08-14_197","三依"
10795,1,"2019-08-14_197","方面"
10834,1,"2019-08-14_197","審判長"
10893,1,"2019-08-14_197","訴訟"
10901,1,"2019-08-14_197","第七"
10923,1,"2019-08-14_197","及第"
10995,2,"2019-08-14_197","損害"
11015,1,"2019-08-14_197","被訴"
11070,3,"2019-08-14_197","無罪"
11092,4,"2019-08-14_197","提起"
11099,1,"2019-08-14_197","業經"
11116,2,"2019-08-14_197","聲明"
11126,1,"2019-08-14_197","責任"
11203,1,"2019-08-14_197","九十六"
11211,3,"2019-08-14_197","賠償"
11216,1,"2019-08-14_197","所載"
11222,1,"2019-08-14_197","之前"
11267,1,"2019-08-14_197","法庭"
11275,1,"2019-08-14_197","萬元"
11299,1,"2019-08-14_197","附件"
11319,2,"2019-08-14_197","三條"
11329,1,"2019-08-14_197","七條"
11345,1,"2019-08-14_197","如主"
11352,2,"2019-08-14_197","起訴"
11354,2,"2019-08-14_197","公共危險"
11361,1,"2019-08-14_197","文中"
11364,1,"2019-08-14_197","說明"
11372,1,"2019-08-14_197","宣告"
11381,1,"2019-08-14_197","計算"
11405,3,"2019-08-14_197","請求"
11407,3,"2019-08-14_197","法官"
11426,1,"2019-08-14_197","不得"
11436,2,"2019-08-14_197","部分"
11437,1,"2019-08-14_197","程序"
11448,1,"2019-08-14_197","上開"
11473,2,"2019-08-14_197","之人"
11476,1,"2019-08-14_197","新臺幣"
11479,2,"2019-08-14_197","陳述"
11483,1,"2019-08-14_197","交通"
11497,1,"2019-08-14_197","受理"
11500,3,"2019-08-14_197","第一項"
11692,1,"2019-08-14_196","上論"
12328,1,"2019-08-14_196","春鈴"
12428,1,"2019-08-14_196","姚念"
12486,1,"2019-08-14_196","法定代理"
12552,1,"2019-08-14_196","慈上"
12676,1,"2019-08-14_196","珊中"
12750,1,"2019-08-14_196","劉芸"
12950,2,"2019-08-14_196","假執行"
13152,3,"2019-08-14_196","之訴"
13312,2,"2019-08-14_196","之聲"
13579,1,"2019-08-14_196","詳如"
13835,1,"2019-08-14_196","案號"
14103,1,"2019-08-14_196","第十"
14155,1,"2019-08-14_196","應以"
14159,3,"2019-08-14_196","民事訴訟"
14187,3,"2019-08-14_196","附帶"
14222,4,"2019-08-14_196","原告"
14346,1,"2019-08-14_196","有限公司"
14463,1,"2019-08-14_196","交訴"
14473,4,"2019-08-14_196","駁回"
14526,2,"2019-08-14_196","過失致死"
14670,1,"2019-08-14_196","審判長"
14724,1,"2019-08-14_196","一號"
14737,1,"2019-08-14_196","第七"
14906,2,"2019-08-14_196","無罪"
14916,1,"2019-08-14_196","人數"
14928,1,"2019-08-14_196","提起"
14935,1,"2019-08-14_196","業經"
14952,2,"2019-08-14_196","聲明"
14967,1,"2019-08-14_196","應予"
14976,1,"2019-08-14_196","十日"
15039,1,"2019-08-14_196","九十六"
15052,1,"2019-08-14_196","所載"
15114,1,"2019-08-14_196","高等法院"
15135,1,"2019-08-14_196","附件"
15155,2,"2019-08-14_196","三條"
15181,1,"2019-08-14_196","如主"
15197,1,"2019-08-14_196","文中"
15200,1,"2019-08-14_196","說明"
15243,1,"2019-08-14_196","法官"
15262,1,"2019-08-14_196","不得"
15272,1,"2019-08-14_196","部分"
15284,1,"2019-08-14_196","上開"
15315,2,"2019-08-14_196","陳述"
15336,2,"2019-08-14_196","第一項"
15339,2,"2019-08-14_196","業務"
15355,1,"2019-08-14_195","可作"
15361,1,"2019-08-14_195","見解"
15374,1,"2019-08-14_195","除應"
15383,1,"2019-08-14_195","刑事案件"
15384,1,"2019-08-14_195","惟若"
15388,1,"2019-08-14_195","共張"
15402,1,"2019-08-14_195","有效"
15404,1,"2019-08-14_195","成本"
15426,2,"2019-08-14_195","威士忌"
15430,1,"2019-08-14_195","速限為"
15453,2,"2019-08-14_195","模擬"
15455,1,"2019-08-14_195","推諉"
15460,1,"2019-08-14_195","風險"
15468,1,"2019-08-14_195","脫落"
15476,1,"2019-08-14_195","僅為"
15496,1,"2019-08-14_195","作用"
15504,1,"2019-08-14_195","運動"
15516,1,"2019-08-14_195","應予以"
15547,1,"2019-08-14_195","偽證"
15552,1,"2019-08-14_195","應減"
15589,1,"2019-08-14_195","道數"
15594,3,"2019-08-14_195","兩人"
15603,1,"2019-08-14_195","物體"
15625,1,"2019-08-14_195","下去"
15629,11,"2019-08-14_195","韋志"
15652,2,"2019-08-14_195","其他人"
15678,1,"2019-08-14_195","扭曲"
15686,1,"2019-08-14_195","應從"
15694,1,"2019-08-14_195","多數"
15745,1,"2019-08-14_195","通化街"
15758,1,"2019-08-14_195","口內"
15767,1,"2019-08-14_195","連續"
15770,1,"2019-08-14_195","容有"
15773,1,"2019-08-14_195","理念"
15873,9,"2019-08-14_195","玻璃"
15885,1,"2019-08-14_195","時之證述"
15886,1,"2019-08-14_195","這樣"
15914,1,"2019-08-14_195","閃煞"
15934,1,"2019-08-14_195","來看"
15945,1,"2019-08-14_195","時竟"
15947,3,"2019-08-14_195","可佐見"
15966,1,"2019-08-14_195","衡量"
15968,1,"2019-08-14_195","長達"
15985,1,"2019-08-14_195","一點點"
16017,2,"2019-08-14_195","預期"
16049,1,"2019-08-14_195","實屬"
16131,1,"2019-08-14_195","要過"
16133,14,"2019-08-14_195","郭韋志"
16137,1,"2019-08-14_195","前端"
16138,1,"2019-08-14_195","物理"
16141,1,"2019-08-14_195","主義"
16154,1,"2019-08-14_195","正前方"
16155,1,"2019-08-14_195","運輸"
16159,1,"2019-08-14_195","法益"
16160,2,"2019-08-14_195","而願"
16162,1,"2019-08-14_195","況且"
16182,1,"2019-08-14_195","仁愛醫院"
16190,2,"2019-08-14_195","拖行"
16193,1,"2019-08-14_195","類似"
16202,2,"2019-08-14_195","當然"
16207,1,"2019-08-14_195","不顧"
16234,1,"2019-08-14_195","業務過失致死罪"
16237,2,"2019-08-14_195","充足"
16251,1,"2019-08-14_195","高速公路"
16256,1,"2019-08-14_195","之理"
16266,1,"2019-08-14_195","道且"
16267,1,"2019-08-14_195","彌補"
16272,2,"2019-08-14_195","不過"
16274,1,"2019-08-14_195","或於"
16298,2,"2019-08-14_195","至頁"
16305,1,"2019-08-14_195","並為"
16321,1,"2019-08-14_195","一件"
16337,1,"2019-08-14_195","已知"
16361,1,"2019-08-14_195","無悔"
16367,1,"2019-08-14_195","念及"
16375,1,"2019-08-14_195","時並"
16422,1,"2019-08-14_195","減得"
16440,2,"2019-08-14_195","包含"
16451,1,"2019-08-14_195","蜘蛛網"
16459,1,"2019-08-14_195","以之作"
16461,1,"2019-08-14_195","受損害"
16486,1,"2019-08-14_195","相對"
16492,4,"2019-08-14_195","死角"
16495,1,"2019-08-14_195","獲得"
16496,1,"2019-08-14_195","等於"
16507,1,"2019-08-14_195","前未"
16511,1,"2019-08-14_195","發見"
16533,2,"2019-08-14_195","現在"
16541,1,"2019-08-14_195","辯顯"
16554,1,"2019-08-14_195","並以"
16556,2,"2019-08-14_195","被害"
16564,1,"2019-08-14_195","自難"
16569,2,"2019-08-14_195","三時"
16575,1,"2019-08-14_195","含量"
16592,1,"2019-08-14_195","客人"
16617,1,"2019-08-14_195","惡劣"
16619,1,"2019-08-14_195","不要"
16630,1,"2019-08-14_195","父親"
16632,1,"2019-08-14_195","腰部"
16634,1,"2019-08-14_195","原則上"
16636,2,"2019-08-14_195","人丙"
16656,1,"2019-08-14_195","其後"
16664,3,"2019-08-14_195","尚不知"
16667,2,"2019-08-14_195","不僅"
16692,4,"2019-08-14_195","我國"
16696,1,"2019-08-14_195","延至"
16698,1,"2019-08-14_195","擋泥板"
16723,2,"2019-08-14_195","如未"
16754,1,"2019-08-14_195","維持"
16760,2,"2019-08-14_195","特殊"
16762,2,"2019-08-14_195","靜止"
16771,3,"2019-08-14_195","傷重"
16780,1,"2019-08-14_195","法令"
16781,1,"2019-08-14_195","放棄"
16784,1,"2019-08-14_195","很多"
16796,1,"2019-08-14_195","刑及"
16797,1,"2019-08-14_195","過低"
16813,4,"2019-08-14_195","阻擋"
16824,3,"2019-08-14_195","大概"
16827,1,"2019-08-14_195","紙在"
16831,1,"2019-08-14_195","迄至"
16835,1,"2019-08-14_195","衣服"
16852,1,"2019-08-14_195","負有"
16857,2,"2019-08-14_195","東西"
16862,1,"2019-08-14_195","壹年"
16863,2,"2019-08-14_195","方向盤"
16865,1,"2019-08-14_195","掉落"
16876,4,"2019-08-14_195","小型"
16877,8,"2019-08-14_195","一起"
16887,2,"2019-08-14_195","反對"
16892,1,"2019-08-14_195","誤會"
16894,1,"2019-08-14_195","致死"
16900,1,"2019-08-14_195","驗斷"
16901,3,"2019-08-14_195","拍照"
16903,1,"2019-08-14_195","小心"
16910,1,"2019-08-14_195","合格"
16911,2,"2019-08-14_195","一同"
16916,2,"2019-08-14_195","免除"
16922,1,"2019-08-14_195","上方"
16927,2,"2019-08-14_195","參與"
16929,1,"2019-08-14_195","瞬間"
16951,3,"2019-08-14_195","這個"
16956,2,"2019-08-14_195","據此"
16961,1,"2019-08-14_195","接觸"
16967,1,"2019-08-14_195","可信"
16980,4,"2019-08-14_195","簡稱"
16983,1,"2019-08-14_195","身上"
16985,1,"2019-08-14_195","如前所述"
16993,1,"2019-08-14_195","碰到"
16998,1,"2019-08-14_195","惟念"
17000,3,"2019-08-14_195","比對"
17007,8,"2019-08-14_195","兩個"
17009,4,"2019-08-14_195","凹陷"
17034,1,"2019-08-14_195","解釋"
17043,4,"2019-08-14_195","仁愛"
17046,2,"2019-08-14_195","很大"
17063,1,"2019-08-14_195","共同"
17064,1,"2019-08-14_195","日本"
17069,2,"2019-08-14_195","傾斜"
17089,5,"2019-08-14_195","起來"
17097,1,"2019-08-14_195","對此"
17102,1,"2019-08-14_195","打電話"
17127,1,"2019-08-14_195","國泰"
17141,3,"2019-08-14_195","北向南"
17144,1,"2019-08-14_195","載送"
17150,3,"2019-08-14_195","前側"
17154,1,"2019-08-14_195","起至"
17155,4,"2019-08-14_195","整個"
17164,2,"2019-08-14_195","是從"
17182,1,"2019-08-14_195","時則"
17186,8,"2019-08-14_195","根據"
17187,1,"2019-08-14_195","經濟"
17188,2,"2019-08-14_195","亦經"
17195,1,"2019-08-14_195","未據"
17200,2,"2019-08-14_195","把手"
17210,2,"2019-08-14_195","認識"
17223,1,"2019-08-14_195","鑑定書"
17226,1,"2019-08-14_195","飾詞"
17227,1,"2019-08-14_195","三千元"
17234,1,"2019-08-14_195","運作"
17239,1,"2019-08-14_195","辦法"
17243,1,"2019-08-14_195","依該"
17249,1,"2019-08-14_195","單純"
17258,2,"2019-08-14_195","毀損"
17264,3,"2019-08-14_195","腹部"
17267,1,"2019-08-14_195","案發前"
17278,11,"2019-08-14_195","擋風玻璃"
17306,1,"2019-08-14_195","撞倒"
17309,1,"2019-08-14_195","賠償被害人"
17320,1,"2019-08-14_195","中均"
17330,3,"2019-08-14_195","角度"
17332,1,"2019-08-14_195","鋪裝"
17338,2,"2019-08-14_195","在於"
17339,1,"2019-08-14_195","速限"
17342,5,"2019-08-14_195","侵害"
17351,8,"2019-08-14_195","他們"
17359,4,"2019-08-14_195","秩序"
17365,1,"2019-08-14_195","喝酒"
17367,1,"2019-08-14_195","研究"
17368,4,"2019-08-14_195","視覺"
17375,2,"2019-08-14_195","惟因"
17386,1,"2019-08-14_195","保險"
17391,1,"2019-08-14_195","撞擊力"
17392,1,"2019-08-14_195","還是"
17393,2,"2019-08-14_195","此時"
17394,2,"2019-08-14_195","以後"
17399,1,"2019-08-14_195","經核"
17411,2,"2019-08-14_195","固定"
17415,1,"2019-08-14_195","詳如"
17435,1,"2019-08-14_195","反覆"
17447,5,"2019-08-14_195","還有"
17457,3,"2019-08-14_195","後輪"
17458,1,"2019-08-14_195","衝撞"
17460,1,"2019-08-14_195","性質"
17463,2,"2019-08-14_195","延伸"
17467,1,"2019-08-14_195","所駕"
17472,1,"2019-08-14_195","仍應"
17473,1,"2019-08-14_195","先予"
17490,1,"2019-08-14_195","作證"
17494,1,"2019-08-14_195","以觀"
17495,1,"2019-08-14_195","認有"
17507,16,"2019-08-14_195","引擎"
17510,1,"2019-08-14_195","以為"
17513,2,"2019-08-14_195","有人"
17517,2,"2019-08-14_195","東向西"
17521,2,"2019-08-14_195","送醫急救"
17523,1,"2019-08-14_195","提示"
17536,1,"2019-08-14_195","依同"
17538,1,"2019-08-14_195","鑑定人"
17553,4,"2019-08-14_195","法規"
17558,4,"2019-08-14_195","不會"
17571,1,"2019-08-14_195","認其"
17575,1,"2019-08-14_195","核其"
17577,1,"2019-08-14_195","可能性"
17600,5,"2019-08-14_195","破損"
17604,2,"2019-08-14_195","查證"
17617,1,"2019-08-14_195","法定程序"
17618,1,"2019-08-14_195","二本"
17624,2,"2019-08-14_195","違背"
17626,1,"2019-08-14_195","旋即"
17628,2,"2019-08-14_195","過快"
17632,4,"2019-08-14_195","繪製"
17635,1,"2019-08-14_195","詳見"
17636,1,"2019-08-14_195","受到"
17637,1,"2019-08-14_195","可採"
17642,3,"2019-08-14_195","下方"
17668,1,"2019-08-14_195","保護"
17670,1,"2019-08-14_195","然後"
17678,1,"2019-08-14_195","事務"
17698,40,"2019-08-14_195","文豪"
17700,2,"2019-08-14_195","犯人"
17701,1,"2019-08-14_195","指述"
17704,2,"2019-08-14_195","靠近"
17713,1,"2019-08-14_195","個人"
17720,3,"2019-08-14_195","車輪"
17733,1,"2019-08-14_195","死罪"
17738,1,"2019-08-14_195","地位"
17740,2,"2019-08-14_195","地上"
17743,13,"2019-08-14_195","光復"
17744,3,"2019-08-14_195","停下來"
17745,1,"2019-08-14_195","司法"
17746,4,"2019-08-14_195","不同"
17756,1,"2019-08-14_195","分隔"
17757,1,"2019-08-14_195","屬於"
17759,2,"2019-08-14_195","後側"
17779,2,"2019-08-14_195","詰問"
17789,1,"2019-08-14_195","無可"
17795,1,"2019-08-14_195","相字"
17806,3,"2019-08-14_195","拍攝"
17809,1,"2019-08-14_195","急救"
17830,2,"2019-08-14_195","查本件"
17847,1,"2019-08-14_195","立法"
17863,1,"2019-08-14_195","朋友"
17870,1,"2019-08-14_195","性行為"
17873,1,"2019-08-14_195","尊重"
17882,1,"2019-08-14_195","主要"
17888,1,"2019-08-14_195","已如"
17898,1,"2019-08-14_195","很快"
17908,4,"2019-08-14_195","載客"
17910,2,"2019-08-14_195","係指"
17912,1,"2019-08-14_195","預見"
17914,1,"2019-08-14_195","報告書"
17916,1,"2019-08-14_195","期日"
17917,1,"2019-08-14_195","尚難"
17925,2,"2019-08-14_195","不致"
17933,3,"2019-08-14_195","何人"
17938,2,"2019-08-14_195","危險性"
17944,2,"2019-08-14_195","合理"
17945,1,"2019-08-14_195","右邊"
17960,4,"2019-08-14_195","法醫"
17962,1,"2019-08-14_195","依卷"
17969,1,"2019-08-14_195","其所"
17978,1,"2019-08-14_195","尚佳"
17982,10,"2019-08-14_195","仁愛路"
17986,1,"2019-08-14_195","之罪者"
17988,4,"2019-08-14_195","計程車司機"
17990,1,"2019-08-14_195","二年"
17991,1,"2019-08-14_195","應以"
18000,3,"2019-08-14_195","立即"
18003,3,"2019-08-14_195","法則"
18004,2,"2019-08-14_195","救護車"
18005,1,"2019-08-14_195","送醫"
18006,1,"2019-08-14_195","前即"
18011,1,"2019-08-14_195","錄影"
18015,2,"2019-08-14_195","大致"
18025,1,"2019-08-14_195","清晰"
18033,1,"2019-08-14_195","無訛"
18041,5,"2019-08-14_195","凌晨時分"
18046,1,"2019-08-14_195","加以"
18049,1,"2019-08-14_195","排除"
18053,7,"2019-08-14_195","信賴"
18054,2,"2019-08-14_195","之事"
18063,3,"2019-08-14_195","前輪"
18065,3,"2019-08-14_195","接近"
18073,11,"2019-08-14_195","高度"
18079,2,"2019-08-14_195","量刑"
18089,2,"2019-08-14_195","經驗"
18095,1,"2019-08-14_195","書狀"
18103,1,"2019-08-14_195","惟查"
18109,3,"2019-08-14_195","時候"
18113,1,"2019-08-14_195","開始"
18114,2,"2019-08-14_195","之詞"
18118,2,"2019-08-14_195","領有"
18122,1,"2019-08-14_195","路況"
18130,1,"2019-08-14_195","受損"
18132,1,"2019-08-14_195","檢附"
18133,2,"2019-08-14_195","清楚"
18135,1,"2019-08-14_195","所辯"
18137,1,"2019-08-14_195","一個"
18138,1,"2019-08-14_195","表紙"
18139,2,"2019-08-14_195","卷內"
18144,1,"2019-08-14_195","右前方"
18146,5,"2019-08-14_195","光碟"
18148,1,"2019-08-14_195","不當"
18150,2,"2019-08-14_195","坐在"
18156,3,"2019-08-14_195","背面"
18158,3,"2019-08-14_195","完全"
18160,4,"2019-08-14_195","一定"
18166,2,"2019-08-14_195","保險桿"
18167,1,"2019-08-14_195","隨即"
18168,1,"2019-08-14_195","煞停"
18175,1,"2019-08-14_195","重大"
18178,2,"2019-08-14_195","功能"
18181,2,"2019-08-14_195","生命"
18187,2,"2019-08-14_195","後面"
18190,3,"2019-08-14_195","本身"
18191,1,"2019-08-14_195","參考"
18197,3,"2019-08-14_195","看見"
18198,1,"2019-08-14_195","前科"
18200,2,"2019-08-14_195","屍體"
18208,1,"2019-08-14_195","自得"
18210,1,"2019-08-14_195","悔意"
18213,2,"2019-08-14_195","尚無"
18219,10,"2019-08-14_195","職業"
18220,1,"2019-08-14_195","痕跡"
18227,1,"2019-08-14_195","財團法人"
18230,10,"2019-08-14_195","時證述"
18232,2,"2019-08-14_195","應屬"
18234,1,"2019-08-14_195","二分之一"
18235,2,"2019-08-14_195","範圍"
18236,5,"2019-08-14_195","不是"
18238,1,"2019-08-14_195","參見"
18241,1,"2019-08-14_195","產生"
18245,2,"2019-08-14_195","出現"
18255,1,"2019-08-14_195","時知"
18259,5,"2019-08-14_195","目擊"
18261,4,"2019-08-14_195","應堪"
18262,1,"2019-08-14_195","肆月"
18264,2,"2019-08-14_195","卸責"
18266,2,"2019-08-14_195","離開"
18269,1,"2019-08-14_195","得以"
18275,1,"2019-08-14_195","報案"
18279,1,"2019-08-14_195","實體"
18281,9,"2019-08-14_195","地面"
18282,1,"2019-08-14_195","前面"
18283,3,"2019-08-14_195","前進"
18287,1,"2019-08-14_195","出具"
18290,2,"2019-08-14_195","輪胎"
18292,1,"2019-08-14_195","所犯"
18298,1,"2019-08-14_195","基隆"
18299,2,"2019-08-14_195","交訴"
18300,1,"2019-08-14_195","而經"
18301,2,"2019-08-14_195","對方"
18304,1,"2019-08-14_195","中央"
18305,7,"2019-08-14_195","過來"
18307,1,"2019-08-14_195","未經"
18308,1,"2019-08-14_195","尚有"
18319,3,"2019-08-14_195","符合"
18320,1,"2019-08-14_195","參以"
18323,1,"2019-08-14_195","包括"
18325,4,"2019-08-14_195","地痕"
18336,1,"2019-08-14_195","平日"
18337,1,"2019-08-14_195","瑕疵"
18338,2,"2019-08-14_195","零點"
18345,1,"2019-08-14_195","真實"
18346,1,"2019-08-14_195","時即"
18350,1,"2019-08-14_195","因本件"
18353,1,"2019-08-14_195","合於"
18356,1,"2019-08-14_195","證詞"
18357,1,"2019-08-14_195","監視器"
18362,2,"2019-08-14_195","過失致死"
18363,3,"2019-08-14_195","應該"
18368,1,"2019-08-14_195","五年"
18370,1,"2019-08-14_195","不知"
18377,6,"2019-08-14_195","顱內出血"
18380,1,"2019-08-14_195","屬實"
18381,3,"2019-08-14_195","左前方"
18386,1,"2019-08-14_195","顯見"
18392,5,"2019-08-14_195","不治"
18393,2,"2019-08-14_195","附近"
18395,2,"2019-08-14_195","後來"
18400,3,"2019-08-14_195","上字"
18404,1,"2019-08-14_195","至於"
18407,1,"2019-08-14_195","視為"
18409,1,"2019-08-14_195","取得"
18412,2,"2019-08-14_195","繼續"
18414,3,"2019-08-14_195","同時"
18416,1,"2019-08-14_195","二千元"
18417,1,"2019-08-14_195","並應"
18418,1,"2019-08-14_195","疏未"
18420,2,"2019-08-14_195","其餘"
18428,3,"2019-08-14_195","右後方"
18429,4,"2019-08-14_195","往前"
18433,2,"2019-08-14_195","綜上"
18434,2,"2019-08-14_195","正常"
18435,1,"2019-08-14_195","項定"
18436,2,"2019-08-14_195","足以"
18441,3,"2019-08-14_195","主動"
18442,2,"2019-08-14_195","開交"
18446,2,"2019-08-14_195","所謂"
18449,2,"2019-08-14_195","超過"
18452,4,"2019-08-14_195","相關"
18453,1,"2019-08-14_195","社會"
18459,1,"2019-08-14_195","之交"
18465,5,"2019-08-14_195","視線"
18467,1,"2019-08-14_195","方面"
18469,5,"2019-08-14_195","勘驗"
18471,1,"2019-08-14_195","所有"
18475,1,"2019-08-14_195","過程"
18480,2,"2019-08-14_195","家屬"
18481,3,"2019-08-14_195","畫面"
18483,1,"2019-08-14_195","綜合"
18486,1,"2019-08-14_195","可資"
18487,2,"2019-08-14_195","所致"
18490,3,"2019-08-14_195","撕裂"
18491,1,"2019-08-14_195","中心"
18494,2,"2019-08-14_195","大安"
18495,1,"2019-08-14_195","足認"
18498,5,"2019-08-14_195","原則"
18499,1,"2019-08-14_195","下列"
18502,4,"2019-08-14_195","基於"
18506,2,"2019-08-14_195","審判長"
18509,1,"2019-08-14_195","單位"
18510,1,"2019-08-14_195","確實"
18511,1,"2019-08-14_195","血液"
18523,1,"2019-08-14_195","矢口否認"
18524,2,"2019-08-14_195","明顯"
18526,3,"2019-08-14_195","死者"
18527,1,"2019-08-14_195","予以"
18528,1,"2019-08-14_195","代理人"
18531,1,"2019-08-14_195","不可"
18532,7,"2019-08-14_195","避免"
18535,1,"2019-08-14_195","條規"
18538,1,"2019-08-14_195","違法"
18541,2,"2019-08-14_195","臺上"
18542,1,"2019-08-14_195","揭時"
18543,1,"2019-08-14_195","路上"
18546,5,"2019-08-14_195","路人"
18554,1,"2019-08-14_195","閃避"
18556,2,"2019-08-14_195","證述"
18557,2,"2019-08-14_195","無證據"
18561,2,"2019-08-14_195","乘客"
18562,1,"2019-08-14_195","可稽見"
18565,1,"2019-08-14_195","訴訟"
18567,2,"2019-08-14_195","不足"
18568,5,"2019-08-14_195","見狀"
18578,17,"2019-08-14_195","超速"
18582,1,"2019-08-14_195","停止"
18583,1,"2019-08-14_195","超越"
18585,1,"2019-08-14_195","足見"
18587,2,"2019-08-14_195","判例"
18596,1,"2019-08-14_195","限制"
18598,2,"2019-08-14_195","判斷"
18601,2,"2019-08-14_195","從而"
18602,1,"2019-08-14_195","不符"
18605,11,"2019-08-14_195","該車"
18607,1,"2019-08-14_195","顯有"
18608,3,"2019-08-14_195","左右"
18609,8,"2019-08-14_195","闖紅燈"
18613,2,"2019-08-14_195","右前"
18615,2,"2019-08-14_195","前項"
18618,1,"2019-08-14_195","一訊據"
18619,1,"2019-08-14_195","標線"
18629,3,"2019-08-14_195","編號"
18630,1,"2019-08-14_195","初步"
18632,2,"2019-08-14_195","依據"
18633,1,"2019-08-14_195","爭執"
18634,1,"2019-08-14_195","選任"
18637,8,"2019-08-14_195","相驗"
18638,3,"2019-08-14_195","覆議"
18639,1,"2019-08-14_195","疏於"
18641,6,"2019-08-14_195","之後"
18645,1,"2019-08-14_195","院區"
18649,2,"2019-08-14_195","搭載"
18650,1,"2019-08-14_195","直接"
18655,1,"2019-08-14_195","同法"
18656,1,"2019-08-14_195","減為"
18658,1,"2019-08-14_195","為業"
18663,1,"2019-08-14_195","要件"
18668,1,"2019-08-14_195","標誌"
